accession,gene,pdb_id,method,resolution,uniprot_chains,coordinate_format,source_url,relative_path,bytes,sha256,note,deposit_date,initial_release_date,post_chai1,post_boltz2,post_protenix,post_openfold3_preview
P10635,CYP2D6,2F9Q,X-ray,3.00 A,A/B/C/D=34-497,PDB,https://files.rcsb.org/download/2F9Q.pdb,pdbs/CYP2D6/2F9Q.pdb,1281663,4185f68c874f761e999a68bf04337117b958cd72bd66085d31c51a3cfa9eaf5c,authoritative RCSB legacy PDB file,2005-12-06T00:00:00Z,2005-12-20T00:00:00Z,false,false,false,false
P10635,CYP2D6,3QM4,X-ray,2.85 A,A/B=34-497,PDB,https://files.rcsb.org/download/3QM4.pdb,pdbs/CYP2D6/3QM4.pdb,668007,4c96efa428ccf4facb41fff8ff046d41708944dfd68faae7ff93669df65c637b,authoritative RCSB legacy PDB file,2011-02-03T00:00:00Z,2012-02-15T00:00:00Z,false,false,false,false
P10635,CYP2D6,3TBG,X-ray,2.10 A,A/B/C/D=34-497,PDB,https://files.rcsb.org/download/3TBG.pdb,pdbs/CYP2D6/3TBG.pdb,1383966,7f457b061a63deb42f06ff67fe852595842f827ecbd0cfe06913bdb6daef45e7,authoritative RCSB legacy PDB file,2011-08-05T00:00:00Z,2012-08-08T00:00:00Z,false,false,false,false
P10635,CYP2D6,3TDA,X-ray,2.67 A,A/B/C/D=34-497,PDB,https://files.rcsb.org/download/3TDA.pdb,pdbs/CYP2D6/3TDA.pdb,1330506,d9e4071cf24dedd1c881b97a374e8d413437f3ae4ea82cef05263c84beb68fda,authoritative RCSB legacy PDB file,2011-08-10T00:00:00Z,2012-08-15T00:00:00Z,false,false,false,false
P10635,CYP2D6,4WNT,X-ray,2.60 A,A/B=34-497,PDB,https://files.rcsb.org/download/4WNT.pdb,pdbs/CYP2D6/4WNT.pdb,1255338,f554e1d50cd5e479aaac3ef86f2140f438000eb1378c6ecd202013ca5efd7390,authoritative RCSB legacy PDB file,2014-10-14T00:00:00Z,2015-01-14T00:00:00Z,false,false,false,false
P10635,CYP2D6,4WNU,X-ray,2.26 A,A/B/C/D=34-497,PDB,https://files.rcsb.org/download/4WNU.pdb,pdbs/CYP2D6/4WNU.pdb,2551419,dbeb61cbf422118dedaae1204bcda6d406ecb3088faee9928ef3d85157143cbd,authoritative RCSB legacy PDB file,2014-10-14T00:00:00Z,2015-01-14T00:00:00Z,false,false,false,false
P10635,CYP2D6,4WNV,X-ray,2.35 A,A/B/C/D=48-497,PDB,https://files.rcsb.org/download/4WNV.pdb,pdbs/CYP2D6/4WNV.pdb,2548746,a400079a67752e56c1e53f159587fdec9166d8955e1078c1ee988442a612ec2e,authoritative RCSB legacy PDB file,2014-10-14T00:00:00Z,2015-01-14T00:00:00Z,false,false,false,false
P10635,CYP2D6,4WNW,X-ray,3.30 A,A/B=34-497,PDB,https://files.rcsb.org/download/4WNW.pdb,pdbs/CYP2D6/4WNW.pdb,669870,fa5f56e818e42463d31b13689a1a2d3e32076de002a2c2520a4d6e028c3391e6,authoritative RCSB legacy PDB file,2014-10-14T00:00:00Z,2015-01-14T00:00:00Z,false,false,false,false
P10635,CYP2D6,4XRY,X-ray,2.50 A,A/B/C/D=34-497,PDB,https://files.rcsb.org/download/4XRY.pdb,pdbs/CYP2D6/4XRY.pdb,1322244,266ae88c59afea00a182d3a2f9da645ee75b444e181039462b61fc40c1d05d19,authoritative RCSB legacy PDB file,2015-01-21T00:00:00Z,2015-05-20T00:00:00Z,false,false,false,false
P10635,CYP2D6,4XRZ,X-ray,2.40 A,A/B/C/D=34-497,PDB,https://files.rcsb.org/download/4XRZ.pdb,pdbs/CYP2D6/4XRZ.pdb,1345491,449ad582fa34f672b134a5fb979adc6e1e0c9bf07f37ca64e8a20b23e0e0643c,authoritative RCSB legacy PDB file,2015-01-21T00:00:00Z,2015-05-20T00:00:00Z,false,false,false,false
P10635,CYP2D6,5TFT,X-ray,2.71 A,A/B/C/D=34-497,PDB,https://files.rcsb.org/download/5TFT.pdb,pdbs/CYP2D6/5TFT.pdb,1302966,ce4199aca26346ac17ba5fbc0edb6eb0b42c29fd77156601b8c7d270f598b641,authoritative RCSB legacy PDB file,2016-09-26T00:00:00Z,2017-01-11T00:00:00Z,false,false,false,false
P10635,CYP2D6,5TFU,X-ray,2.75 A,A/B/C/D=34-497,PDB,https://files.rcsb.org/download/5TFU.pdb,pdbs/CYP2D6/5TFU.pdb,1298511,f44b092317c957d1ed44ea57409e243bb1376af15a6e9ea90b0aa339ed2a5432,authoritative RCSB legacy PDB file,2016-09-26T00:00:00Z,2017-01-11T00:00:00Z,false,false,false,false
P10635,CYP2D6,6CSB,X-ray,2.39 A,A/B/C/D=34-497,PDB,https://files.rcsb.org/download/6CSB.pdb,pdbs/CYP2D6/6CSB.pdb,1359990,b5a4cc929b3e8a6ade0ee6e60bcce549cacfd4e0971712950136298896cc76a7,authoritative RCSB legacy PDB file,2018-03-20T00:00:00Z,2019-03-27T00:00:00Z,false,false,false,false
P10635,CYP2D6,6CSD,X-ray,2.39 A,A/B=34-497,PDB,https://files.rcsb.org/download/6CSD.pdb,pdbs/CYP2D6/6CSD.pdb,708912,df83a1ae26fcf8fc4ff644d49547d61d27748490bbd2411763a607373be8342a,authoritative RCSB legacy PDB file,2018-03-20T00:00:00Z,2019-03-27T00:00:00Z,false,false,false,false
P08684,CYP3A4,1TQN,X-ray,2.05 A,A=24-503,PDB,https://files.rcsb.org/download/1TQN.pdb,pdbs/CYP3A4/1TQN.pdb,369036,4370e1945a918d519510702fc504dd72fa2f9db0c56c5e6397a42fb30ae5d6f3,authoritative RCSB legacy PDB file,2004-06-17T00:00:00Z,2004-07-27T00:00:00Z,false,false,false,false
P08684,CYP3A4,1W0E,X-ray,2.80 A,A=25-503,PDB,https://files.rcsb.org/download/1W0E.pdb,pdbs/CYP3A4/1W0E.pdb,347571,0be9474c482752c983450af58e7359ca02953d1cd9bb45b34d81689143e0f3ed,authoritative RCSB legacy PDB file,2004-06-03T00:00:00Z,2004-07-22T00:00:00Z,false,false,false,false
P08684,CYP3A4,1W0F,X-ray,2.65 A,A=25-503,PDB,https://files.rcsb.org/download/1W0F.pdb,pdbs/CYP3A4/1W0F.pdb,358263,071c7a303d62442f4815c21f90bdb34495bb663f58d264ab714a178b8977cb0e,authoritative RCSB legacy PDB file,2004-06-03T00:00:00Z,2004-07-22T00:00:00Z,false,false,false,false
P08684,CYP3A4,1W0G,X-ray,2.74 A,A=25-503,PDB,https://files.rcsb.org/download/1W0G.pdb,pdbs/CYP3A4/1W0G.pdb,358344,2667fae7bba7f85e19632162e05d2f36deca36093304543fd762294400ea4e97,authoritative RCSB legacy PDB file,2004-06-03T00:00:00Z,2004-07-22T00:00:00Z,false,false,false,false
P08684,CYP3A4,2J0D,X-ray,2.75 A,A/B=25-503,PDB,https://files.rcsb.org/download/2J0D.pdb,pdbs/CYP3A4/2J0D.pdb,661365,0c252f7abd81af93c09cc00df3f7f74a8a87f732125d94a2fd58274ae8f06923,authoritative RCSB legacy PDB file,2006-08-02T00:00:00Z,2006-09-04T00:00:00Z,false,false,false,false
P08684,CYP3A4,2V0M,X-ray,2.80 A,A/B/C/D=25-503,PDB,https://files.rcsb.org/download/2V0M.pdb,pdbs/CYP3A4/2V0M.pdb,1338768,52c453b386e19c4f95bf9c9883d164c2c962bca723e1bec80a769752da716bd7,authoritative RCSB legacy PDB file,2007-05-15T00:00:00Z,2007-06-26T00:00:00Z,false,false,false,false
P08684,CYP3A4,3NXU,X-ray,2.00 A,A/B=25-503,PDB,https://files.rcsb.org/download/3NXU.pdb,pdbs/CYP3A4/3NXU.pdb,717984,46e1c71750dab73a1aa0eea93c89d9a55c3f527fdec3d8207f0a1c458aaa8b1f,authoritative RCSB legacy PDB file,2010-07-14T00:00:00Z,2010-10-20T00:00:00Z,false,false,false,false
P08684,CYP3A4,3TJS,X-ray,2.25 A,A=23-503,PDB,https://files.rcsb.org/download/3TJS.pdb,pdbs/CYP3A4/3TJS.pdb,666630,633cdb2da9e3cab239162c272701df7f9f9d30e3e670149696d723fd2ea252fa,authoritative RCSB legacy PDB file,2011-08-24T00:00:00Z,2012-03-07T00:00:00Z,false,false,false,false
P08684,CYP3A4,3UA1,X-ray,2.15 A,A=23-503,PDB,https://files.rcsb.org/download/3UA1.pdb,pdbs/CYP3A4/3UA1.pdb,658044,0ec2f22db0a0dae3a990586f1c627426d6ba4a10cb3199df2e0f168ab369f00d,authoritative RCSB legacy PDB file,2011-10-20T00:00:00Z,2011-12-14T00:00:00Z,false,false,false,false
P08684,CYP3A4,4D6Z,X-ray,1.93 A,A=23-503,PDB,https://files.rcsb.org/download/4D6Z.pdb,pdbs/CYP3A4/4D6Z.pdb,706320,488307346fb4af04bc99eceffa23183fa217eeca26df74c88e51746582e19e11,authoritative RCSB legacy PDB file,2014-11-19T00:00:00Z,2015-09-23T00:00:00Z,false,false,false,false
P08684,CYP3A4,4D75,X-ray,2.25 A,A=23-503,PDB,https://files.rcsb.org/download/4D75.pdb,pdbs/CYP3A4/4D75.pdb,664362,450fab57b331c853d67ec2898fb4367b57bc1ec3d8de0f27c070375ad77b08b3,authoritative RCSB legacy PDB file,2014-11-19T00:00:00Z,2015-09-23T00:00:00Z,false,false,false,false
P08684,CYP3A4,4D78,X-ray,2.80 A,A=23-503,PDB,https://files.rcsb.org/download/4D78.pdb,pdbs/CYP3A4/4D78.pdb,654237,99cc0dab3ae22768395a28858c3de086c04399d7c5fec4dee0701f602ebf9828,authoritative RCSB legacy PDB file,2014-11-21T00:00:00Z,2015-09-23T00:00:00Z,false,false,false,false
P08684,CYP3A4,4D7D,X-ray,2.76 A,A=23-503,PDB,https://files.rcsb.org/download/4D7D.pdb,pdbs/CYP3A4/4D7D.pdb,662904,cf4dbaed5cdd88e4861219f760eb34da21ac4191dfff1bc055c6bc7519dff057,authoritative RCSB legacy PDB file,2014-11-22T00:00:00Z,2015-09-23T00:00:00Z,false,false,false,false
P08684,CYP3A4,4I3Q,X-ray,2.60 A,A=23-503,PDB,https://files.rcsb.org/download/4I3Q.pdb,pdbs/CYP3A4/4I3Q.pdb,665010,0b114084537911e8f3b111c64ae44a9bd86ed5d70d0a7333b2d1475b26a00325,authoritative RCSB legacy PDB file,2012-11-26T00:00:00Z,2013-04-24T00:00:00Z,false,false,false,false
P08684,CYP3A4,4I4G,X-ray,2.72 A,A=23-503,PDB,https://files.rcsb.org/download/4I4G.pdb,pdbs/CYP3A4/4I4G.pdb,668169,e9bca6fd851c955dcc39ed94b408363495edbc83bc3d1eec8bc08a6fecb479dd,authoritative RCSB legacy PDB file,2012-11-27T00:00:00Z,2013-04-24T00:00:00Z,false,false,false,false
P08684,CYP3A4,4I4H,X-ray,2.90 A,A=23-503,PDB,https://files.rcsb.org/download/4I4H.pdb,pdbs/CYP3A4/4I4H.pdb,663390,6992dba9df9bd9d5a27f7bf16db8942f42087e657ab8f550dcbf623dc93d3b81,authoritative RCSB legacy PDB file,2012-11-27T00:00:00Z,2013-04-24T00:00:00Z,false,false,false,false
P08684,CYP3A4,4K9T,X-ray,2.50 A,A=23-503,PDB,https://files.rcsb.org/download/4K9T.pdb,pdbs/CYP3A4/4K9T.pdb,670923,a784f862059c710d7f7b557d201af5dd957dab70d61e442975463925d051a894,authoritative RCSB legacy PDB file,2013-04-21T00:00:00Z,2013-06-19T00:00:00Z,false,false,false,false
P08684,CYP3A4,4K9U,X-ray,2.85 A,A=23-503,PDB,https://files.rcsb.org/download/4K9U.pdb,pdbs/CYP3A4/4K9U.pdb,659907,1c73a74a17b0540e72353810b557c971a3bb114b7d5f28adeadebeee936ab223,authoritative RCSB legacy PDB file,2013-04-21T00:00:00Z,2013-06-19T00:00:00Z,false,false,false,false
P08684,CYP3A4,4K9V,X-ray,2.60 A,A=23-503,PDB,https://files.rcsb.org/download/4K9V.pdb,pdbs/CYP3A4/4K9V.pdb,659421,58fbe9a3ec00378756398358b51dec1e7ceee5a8cb00293a38198b4a3dd65c38,authoritative RCSB legacy PDB file,2013-04-21T00:00:00Z,2013-06-19T00:00:00Z,false,false,false,false
P08684,CYP3A4,4K9W,X-ray,2.40 A,A/B/C/D=23-503,PDB,https://files.rcsb.org/download/4K9W.pdb,pdbs/CYP3A4/4K9W.pdb,2566566,08eca5861541544931cf26338aaf9e597860eb0b55430d4290fe52351b9bc67d,authoritative RCSB legacy PDB file,2013-04-21T00:00:00Z,2013-06-19T00:00:00Z,false,false,false,false
P08684,CYP3A4,4K9X,X-ray,2.76 A,A=23-503,PDB,https://files.rcsb.org/download/4K9X.pdb,pdbs/CYP3A4/4K9X.pdb,648000,34b5434fcd83fdaa7bf3749c1535acec6e9273cf53f6054de0fb4e84afec8c8f,authoritative RCSB legacy PDB file,2013-04-21T00:00:00Z,2013-06-19T00:00:00Z,false,false,false,false
P08684,CYP3A4,4NY4,X-ray,2.95 A,A=25-503,PDB,https://files.rcsb.org/download/4NY4.pdb,pdbs/CYP3A4/4NY4.pdb,655857,34cb456ff2bbc2cca5cab0affabec4e3266c0109331607a47015f5c0930f9d3b,authoritative RCSB legacy PDB file,2013-12-10T00:00:00Z,2014-08-13T00:00:00Z,false,false,false,false
P08684,CYP3A4,5A1P,X-ray,2.50 A,A=23-503,PDB,https://files.rcsb.org/download/5A1P.pdb,pdbs/CYP3A4/5A1P.pdb,667440,899336ef103cf3b84aa236f2c20dbf45eab1ae442ad7740fb8a01755af005822,authoritative RCSB legacy PDB file,2015-05-04T00:00:00Z,2015-06-24T00:00:00Z,false,false,false,false
P08684,CYP3A4,5A1R,X-ray,2.45 A,A=23-503,PDB,https://files.rcsb.org/download/5A1R.pdb,pdbs/CYP3A4/5A1R.pdb,663228,bffd3683c4715b517a740625986c9ef9e54b6a78bee42c2f2aabf999cfcee88e,authoritative RCSB legacy PDB file,2015-05-04T00:00:00Z,2015-06-24T00:00:00Z,false,false,false,false
P08684,CYP3A4,5G5J,X-ray,2.60 A,A=21-503,PDB,https://files.rcsb.org/download/5G5J.pdb,pdbs/CYP3A4/5G5J.pdb,650025,fd5e4fddd986e6416c9c5320b18926d76585460bde7bf24607d910da5c272a49,authoritative RCSB legacy PDB file,2016-05-25T00:00:00Z,2017-06-07T00:00:00Z,false,false,false,false
P08684,CYP3A4,5TE8,X-ray,2.70 A,A/B/C=23-503,PDB,https://files.rcsb.org/download/5TE8.pdb,pdbs/CYP3A4/5TE8.pdb,1972512,06dae6ce2d446660d9b6287dfd55fb356fe3f5018c6b54b59c71b552ce2059cd,authoritative RCSB legacy PDB file,2016-09-20T00:00:00Z,2016-12-07T00:00:00Z,false,false,false,false
P08684,CYP3A4,5VC0,X-ray,2.70 A,A=21-503,PDB,https://files.rcsb.org/download/5VC0.pdb,pdbs/CYP3A4/5VC0.pdb,673596,8cbb80d5e1ea90ac5e0b697cd4e7d11825b6021d0acd37cc6550a81d4710e808,authoritative RCSB legacy PDB file,2017-03-30T00:00:00Z,2017-05-31T00:00:00Z,false,false,false,false
P08684,CYP3A4,5VCC,X-ray,1.70 A,A=21-503,PDB,https://files.rcsb.org/download/5VCC.pdb,pdbs/CYP3A4/5VCC.pdb,752166,b4c16147ca536758fc33282bfa5b7bef683f85ddb2b0c5140d7cdc31d4ad8ff9,authoritative RCSB legacy PDB file,2017-03-31T00:00:00Z,2017-05-31T00:00:00Z,false,false,false,false
P08684,CYP3A4,5VCD,X-ray,1.95 A,A=21-503,PDB,https://files.rcsb.org/download/5VCD.pdb,pdbs/CYP3A4/5VCD.pdb,689067,163b032c31a1b819fe9dba2147f5a9890e5ec655542dc40ad509f596da9749e5,authoritative RCSB legacy PDB file,2017-03-31T00:00:00Z,2017-05-31T00:00:00Z,false,false,false,false
P08684,CYP3A4,5VCE,X-ray,2.20 A,A=21-503,PDB,https://files.rcsb.org/download/5VCE.pdb,pdbs/CYP3A4/5VCE.pdb,669060,56f2fd4534a1114d870b43f18e8054830819cfd800306ed823cfa52ea6690ce6,authoritative RCSB legacy PDB file,2017-03-31T00:00:00Z,2017-05-31T00:00:00Z,false,false,false,false
P08684,CYP3A4,5VCG,X-ray,2.20 A,A=21-503,PDB,https://files.rcsb.org/download/5VCG.pdb,pdbs/CYP3A4/5VCG.pdb,683721,b3d294cd91aea589f9d7324666ac619251033b0dc9772267860dfe11dcce89f9,authoritative RCSB legacy PDB file,2017-03-31T00:00:00Z,2017-05-31T00:00:00Z,false,false,false,false
P08684,CYP3A4,6BCZ,X-ray,2.23 A,A=21-503,PDB,https://files.rcsb.org/download/6BCZ.pdb,pdbs/CYP3A4/6BCZ.pdb,676674,c63e3d7bb0cef466a8f2d5fef3585242a6604c2c568c9ca306c7a42c6c7a2370,authoritative RCSB legacy PDB file,2017-10-20T00:00:00Z,2017-12-13T00:00:00Z,false,false,false,false
P08684,CYP3A4,6BD5,X-ray,2.50 A,A=21-503,PDB,https://files.rcsb.org/download/6BD5.pdb,pdbs/CYP3A4/6BD5.pdb,669951,0491929c0135d58d47d5e3f1871f3deb528ce58b91b0ca2f42546beba1d89769,authoritative RCSB legacy PDB file,2017-10-21T00:00:00Z,2017-12-13T00:00:00Z,false,false,false,false
P08684,CYP3A4,6BD6,X-ray,2.50 A,A=21-503,PDB,https://files.rcsb.org/download/6BD6.pdb,pdbs/CYP3A4/6BD6.pdb,656181,83916b388c61f85629ed30f56523745ac64e0efe4f1e3b850a04012714e6ea44,authoritative RCSB legacy PDB file,2017-10-21T00:00:00Z,2017-12-13T00:00:00Z,false,false,false,false
P08684,CYP3A4,6BD7,X-ray,2.42 A,A=21-503,PDB,https://files.rcsb.org/download/6BD7.pdb,pdbs/CYP3A4/6BD7.pdb,673434,977b943fd5570b825084fcc64c97fefca058c9bdf5c747bef2e1107b519f92cf,authoritative RCSB legacy PDB file,2017-10-21T00:00:00Z,2017-12-13T00:00:00Z,false,false,false,false
P08684,CYP3A4,6BD8,X-ray,2.38 A,A=21-503,PDB,https://files.rcsb.org/download/6BD8.pdb,pdbs/CYP3A4/6BD8.pdb,667521,107fe30ccaaba01a56da0da80b1e2c954509d2c0158ab35abf603682a9fba31f,authoritative RCSB legacy PDB file,2017-10-21T00:00:00Z,2017-12-13T00:00:00Z,false,false,false,false
P08684,CYP3A4,6BDH,X-ray,2.25 A,A=21-503,PDB,https://files.rcsb.org/download/6BDH.pdb,pdbs/CYP3A4/6BDH.pdb,641358,e9553f114a0a7982b4f61abf97f745cf9b6b0ec1dd70deed8c4784f5550b3dc1,authoritative RCSB legacy PDB file,2017-10-23T00:00:00Z,2017-12-13T00:00:00Z,false,false,false,false
P08684,CYP3A4,6BDI,X-ray,2.57 A,A=21-503,PDB,https://files.rcsb.org/download/6BDI.pdb,pdbs/CYP3A4/6BDI.pdb,681453,c900d0e60c08b5a4c8c548f5e21dc9e767792351ab7c38bd8586d3116cb0836d,authoritative RCSB legacy PDB file,2017-10-23T00:00:00Z,2017-12-13T00:00:00Z,false,false,false,false
P08684,CYP3A4,6BDK,X-ray,2.67 A,A=21-503,PDB,https://files.rcsb.org/download/6BDK.pdb,pdbs/CYP3A4/6BDK.pdb,672948,42eaa9895da9a1165c66141bb8d954a1b684b7bd3ac2c9dd46050b524a8d1710,authoritative RCSB legacy PDB file,2017-10-23T00:00:00Z,2017-12-13T00:00:00Z,false,false,false,false
P08684,CYP3A4,6BDM,X-ray,2.60 A,A=21-503,PDB,https://files.rcsb.org/download/6BDM.pdb,pdbs/CYP3A4/6BDM.pdb,662904,4166131dd7911d3d724fb1094f68daec33916b9feacad73c0d7f3b814895b9cd,authoritative RCSB legacy PDB file,2017-10-23T00:00:00Z,2017-12-13T00:00:00Z,false,false,false,false
P08684,CYP3A4,6DA2,X-ray,2.65 A,A=23-503,PDB,https://files.rcsb.org/download/6DA2.pdb,pdbs/CYP3A4/6DA2.pdb,653994,069dc80d579a0e8a56d5de64b5707de08b80002996ac05d0a8a2774ecda689b3,authoritative RCSB legacy PDB file,2018-05-01T00:00:00Z,2019-04-03T00:00:00Z,false,false,false,false
P08684,CYP3A4,6DA3,X-ray,2.37 A,A=23-503,PDB,https://files.rcsb.org/download/6DA3.pdb,pdbs/CYP3A4/6DA3.pdb,647676,371065f632209fd07f15b2af34c95cb9377c41b14e74e04e39b21b24dce2f560,authoritative RCSB legacy PDB file,2018-05-01T00:00:00Z,2019-04-03T00:00:00Z,false,false,false,false
P08684,CYP3A4,6DA5,X-ray,2.25 A,A=23-503,PDB,https://files.rcsb.org/download/6DA5.pdb,pdbs/CYP3A4/6DA5.pdb,652698,389d682f5756d77a88b312e580c84625c9b66613976e738a4aca1200fb1bd554,authoritative RCSB legacy PDB file,2018-05-01T00:00:00Z,2019-04-03T00:00:00Z,false,false,false,false
P08684,CYP3A4,6DA8,X-ray,2.80 A,A=23-503,PDB,https://files.rcsb.org/download/6DA8.pdb,pdbs/CYP3A4/6DA8.pdb,648567,26fc42984444b7ea02e46ee400aa7d623206251ec1faf0583a0e3e4223997f65,authoritative RCSB legacy PDB file,2018-05-01T00:00:00Z,2019-04-03T00:00:00Z,false,false,false,false
P08684,CYP3A4,6DAA,X-ray,2.15 A,A=23-503,PDB,https://files.rcsb.org/download/6DAA.pdb,pdbs/CYP3A4/6DAA.pdb,652374,fb9b2e872d72aeaeea363894e2dc4a6d467b0a24034c09817eae2ad45c7e1e04,authoritative RCSB legacy PDB file,2018-05-01T00:00:00Z,2019-04-03T00:00:00Z,false,false,false,false
P08684,CYP3A4,6DAB,X-ray,2.35 A,A=23-503,PDB,https://files.rcsb.org/download/6DAB.pdb,pdbs/CYP3A4/6DAB.pdb,632367,e76f061885b0d44abf27c314c0ced3c7a2e532fbe9968137cba29a1116e0c916,authoritative RCSB legacy PDB file,2018-05-01T00:00:00Z,2019-04-03T00:00:00Z,false,false,false,false
