compound_id,endpoint,observed,calibrated_prediction,fold,scaffold_id
OCNT-0498126,CYP1A2,5.587237593,5.619122512017928,3,MURCKO::O=c1[nH]c2ccccc2o1
OCNT-0498430,CYP1A2,5.76834609,5.017548123883911,0,MURCKO::c1ccc(-c2cn3ccccc3n2)cc1
OCNT-1755349,CYP1A2,5.91949229,5.136945354945379,2,MURCKO::c1ccccc1
OCNT-1911800,CYP1A2,5.14513125,4.897901468499683,4,MURCKO::c1ccc(C2CCNCC2COc2ccc3c(c2)OCO3)cc1
OCNT-2308460,CYP1A2,5.041184842,5.500037322898773,0,MURCKO::O=C(Nc1cccc(-c2ncco2)c1)c1ccc2[nH]nnc2c1
OCNT-2308465,CYP1A2,5.402595805,5.253926718375412,4,MURCKO::c1ncc(Cc2nc(-c3ccc4c(c3)OCO4)no2)cn1
OCNT-2308468,CYP1A2,3.43026558,4.787891162817714,0,MURCKO::O=C(c1ccc2[nH]nnc2c1)N1CCCC(n2cccn2)C1
OCNT-2308470,CYP1A2,5.107489447,4.492909279929791,4,MURCKO::c1ccc(-c2cn(Cc3nccs3)nn2)cc1
OCNT-2308474,CYP1A2,6.01210488,4.685086924957799,2,MURCKO::O=C(Nc1ccccc1-c1ncc[nH]1)c1cc(-c2ccccc2)n[nH]1
OCNT-2308475,CYP1A2,4.999731902,5.103302105014302,0,MURCKO::O=S(=O)(Nc1cccc2[nH]ccc12)c1sccc1C1CC1
OCNT-2308476,CYP1A2,4.386259468,4.541281892877388,1,MURCKO::O=C(Nc1ccc2c(c1)NCC2)N1CCCCC1
OCNT-2308483,CYP1A2,5.34602963,5.1076486453853445,4,MURCKO::c1ccc2ncc(-c3c[nH]c4cnccc34)cc2c1
OCNT-2308499,CYP1A2,7.114525278,5.146952468849708,4,MURCKO::c1ccc(N2CC(Oc3cn[nH]c3)C2)cc1
OCNT-2308506,CYP1A2,4.867253745,4.854604674424479,0,MURCKO::O=C1CC2OCCC2(c2nc(-c3ccc4c(c3)CCC4)no2)CN1
OCNT-2308508,CYP1A2,5.176037263,5.2290392929492215,0,MURCKO::O=C(Nc1c[nH]nc1-c1ccccn1)c1cccc(-n2cccn2)c1
OCNT-2308510,CYP1A2,3.874486005,5.348166917991587,2,MURCKO::O=C(Nc1cccc(-c2nnn[nH]2)c1)c1cn[nH]c1
OCNT-2308519,CYP1A2,5.529981917,4.817288261126279,1,MURCKO::O=c1c2cncn2c2ccccc2n1CC1C2CCCCCC21
OCNT-2308520,CYP1A2,5.379134973,5.109407103864556,2,MURCKO::O=C(NCc1ccc(-n2ccnc2)nc1)NC1COc2ccccc21
OCNT-2308529,CYP1A2,5.021356355,4.698102926384346,4,MURCKO::O=C(Cc1cc[nH]n1)Nc1ccn2nccc2c1
OCNT-2308546,CYP1A2,5.416281745,5.099593904074546,1,MURCKO::O=C(Nc1c[nH]c2ccccc12)C1CC1c1cnc[nH]1
OCNT-2308553,CYP1A2,5.15728653,4.875678530928559,4,MURCKO::O=C(C1CCC1)N1CCCn2nc(-c3ccccc3)nc21
OCNT-2308554,CYP1A2,3.235258265,4.985238173390071,1,MURCKO::O=C(c1cnc2ccccn2c1=O)N1CCN(C2CC2)c2ccccc21
OCNT-2308562,CYP1A2,4.911011337,4.911897838363803,0,MURCKO::O=C(Nc1nc2ccccc2s1)C1CCCOC1
OCNT-2308571,CYP1A2,5.564723962,4.692818402243471,0,MURCKO::O=C(NCCc1nnc(-c2ccccc2)o1)c1ccccc1
OCNT-2308588,CYP1A2,5.273967155,5.115562527507203,2,MURCKO::c1ccc(Oc2ccnc(N3CCCNCC3)n2)cc1
OCNT-2308594,CYP1A2,5.990223753,5.365331240538511,0,MURCKO::O=C(Nc1cccc(-c2cccnc2)c1)NC1CC1
OCNT-2308597,CYP1A2,5.081854505,4.985009500006567,1,MURCKO::c1ccc2c(c1)[nH]c1ncnc(N3CCCCC3)c12
OCNT-2308600,CYP1A2,5.030569498,4.845022642105445,4,MURCKO::O=C(NCc1ccccc1)c1n[nH]c2ccccc12
OCNT-2308605,CYP1A2,4.189079855,5.202096395347951,0,MURCKO::O=C(Cc1cn[nH]c1)N1CCc2[nH]ncc2C1
OCNT-2308619,CYP1A2,3.255417185,5.044405850773743,3,MURCKO::O=C(NCC(=O)N1Cc2ccccc2C1)c1nn[nH]c1-c1ccccc1
OCNT-2308626,CYP1A2,2.508812232,4.4091284644181705,4,MURCKO::O=C(NC1CCOc2ccccc21)C1CCCO1
OCNT-2308632,CYP1A2,4.876318503,5.0998237085680564,0,MURCKO::c1ccc(CSc2nnc(NC3CC3)s2)cc1
OCNT-2308635,CYP1A2,5.796193795,4.864711874079033,2,MURCKO::O=C(NCc1ccccc1)C1CCc2[nH]ncc2C1
OCNT-2308638,CYP1A2,5.211921692,4.800915535544295,1,MURCKO::O=C(Nc1ccc(-c2cncnc2)cc1)C1CC2CC2C1
OCNT-2308646,CYP1A2,4.668175377,5.014325183759645,2,MURCKO::O=C1CNC(=O)N1CCc1c[nH]c2ccccc12
OCNT-2308649,CYP1A2,5.028129372,4.619084887302801,4,MURCKO::O=C(Cc1ccccc1)NCc1ccccc1-n1ccnc1
OCNT-2308682,CYP1A2,6.125472485,5.907517050903763,2,MURCKO::O=c1c2ccccc2c(-c2nc(Cn3cncn3)no2)nn1Cc1ccccc1
OCNT-2308693,CYP1A2,5.764120808,5.674009690162481,1,MURCKO::c1ccc(OCCSc2nnc(NC3CC3)s2)cc1
OCNT-2308707,CYP1A2,2.098388835,4.831711491630402,4,MURCKO::O=C(NCC12CC1COC21CCC1)c1cc(-c2ccco2)[nH]n1
OCNT-2308723,CYP1A2,4.741873508,4.488025680417641,2,MURCKO::c1ccc2c(CCNc3ncnc4[nH]cnc34)c[nH]c2c1
OCNT-2308740,CYP1A2,5.235968535,5.510789641500473,2,MURCKO::c1cnn(CC2CCC(Nc3nccc(-n4cccn4)n3)C2)c1
OCNT-2308747,CYP1A2,4.901963337,5.05658998309478,3,MURCKO::O=c1[nH]c(Cc2c[nH]c3ncccc23)nc2sccc12
OCNT-2308748,CYP1A2,4.508949242,4.768553273516594,0,MURCKO::O=C(Cc1ccccc1)N1CCN(c2ncccn2)CC1
OCNT-2308758,CYP1A2,3.942125723,5.108752067323016,3,MURCKO::O=C(Nc1cnn(-c2ccccc2)c1)NC(c1ccccc1)c1nnc[nH]1
OCNT-2308762,CYP1A2,3.794313387,4.855507891615062,4,MURCKO::O=C(Nc1ccc(OCc2ccccc2)cc1)c1cnn2cccnc12
OCNT-2308765,CYP1A2,3.86872516,4.811888875662286,4,MURCKO::O=C(NC1CCC(Cn2cccn2)C1)c1onc2ccccc12
OCNT-2308768,CYP1A2,5.177702333,4.688803305294364,0,MURCKO::O=C(Nc1nc2ccccc2n1-c1cc[nH]n1)C1CC1
OCNT-2308774,CYP1A2,5.206897602,4.665763311225797,1,MURCKO::O=C(NCc1ccccc1)c1cc(-c2ccccc2)[nH]n1
OCNT-2308786,CYP1A2,5.544890505,4.694088339215405,2,MURCKO::c1cc2ccc(-c3cnn(C4CCCCO4)c3)cc2[nH]1
OCNT-2308803,CYP1A2,4.948839665,4.806447327032441,0,MURCKO::O=S1(=O)CCC(CNc2ccccc2OCC2CCCCC2)C1
OCNT-2308808,CYP1A2,3.846529133,5.15998981220592,2,MURCKO::O=C(Cc1ccccn1)Nc1ncc[nH]1
OCNT-2308829,CYP1A2,5.310150098,4.919515875415394,0,MURCKO::O=C(COCc1ccncc1)N1CCCCC1
OCNT-2308837,CYP1A2,5.4050786,5.898942292414014,4,MURCKO::c1ccc(CCNCc2cccc(-n3ccnc3)c2)cc1
OCNT-2308847,CYP1A2,3.98482508,4.5875887856143365,2,MURCKO::O=C(NCC1CCNCC1)c1ccnc(N2CCCC2)n1
OCNT-2308854,CYP1A2,5.307070495,5.83656024375041,1,MURCKO::O=C(NCc1cccc(Cn2ccnc2)c1)c1cn2ccccc2n1
OCNT-2308855,CYP1A2,3.000227785,4.916897811388589,3,MURCKO::O=C(Nc1ccncc1)NC(c1ccccn1)C1CC1
OCNT-2308857,CYP1A2,5.046667327,4.637958252564969,0,MURCKO::O=C(Nc1ccc2c(c1)C(=O)NCC2)c1cccc(S(=O)(=O)Nc2ccccc2)c1
OCNT-2308859,CYP1A2,5.676891138,4.784024634838102,1,MURCKO::c1ccc(Nc2nc(C3COCCO3)cs2)cc1
OCNT-2308860,CYP1A2,6.142259447,4.758994592063609,4,MURCKO::O=C(Nc1ccccc1)c1ccccn1
OCNT-2308866,CYP1A2,4.71698677,4.845576982338289,2,MURCKO::O=C(NCC#CC1CCCCO1)c1cc2ccccc2[nH]1
OCNT-2308867,CYP1A2,2.183939,4.9320143075006255,3,MURCKO::c1ccc(Cn2cc(CC3CCCCC3)nn2)cc1
OCNT-2308870,CYP1A2,4.175317817,4.907464960388211,1,MURCKO::O=C(Nc1cc[nH]c1)c1ccc(N2CCC=N2)cc1
OCNT-2308871,CYP1A2,5.284392625,5.067442661838609,3,MURCKO::c1cn(C2CCC2)nc1-c1cn(CC2CC2)nn1
OCNT-2308896,CYP1A2,3.340069977,4.383960558158334,4,MURCKO::O=C(Nc1c[nH]nc1-c1ccccn1)c1cccnc1
OCNT-2308899,CYP1A2,6.44116655,4.422610952779922,3,MURCKO::c1ccc(CCNc2ccn(-c3ncccn3)n2)cc1
OCNT-2308900,CYP1A2,4.902761188,5.195356006108185,2,MURCKO::O=C(Nc1cccc(-n2cnnn2)c1)c1cnc2n1CCCC2
OCNT-2308903,CYP1A2,5.943690125,4.851919046621622,3,MURCKO::c1ccc(CCCn2cc(-c3cnc[nH]3)nn2)cc1
OCNT-2308905,CYP1A2,4.857112792,4.976589101398984,4,MURCKO::c1ccc(-c2cn(CC3COc4ccccc4O3)nn2)nc1
OCNT-2308908,CYP1A2,4.97390783,5.012464665415727,4,MURCKO::O=C1CC(Cc2nc(Cc3ccccc3)no2)c2ccccc2N1
OCNT-2308918,CYP1A2,5.307835752,4.659969530540019,4,MURCKO::O=C(CCC=Cc1ccccc1)Nc1coc2ccccc12
OCNT-2308924,CYP1A2,5.339429423,4.912462341733399,3,MURCKO::O=C(NC1CCC1)c1cccc(Nc2nccs2)c1
OCNT-2308925,CYP1A2,5.585823915,4.361265467115343,4,MURCKO::c1ccc2c(c1)CCCC2n1cc(-c2ncc[nH]2)nn1
OCNT-2308929,CYP1A2,5.10768271,5.134930230859559,1,MURCKO::c1cc(N(Cc2ccns2)CC2CCC2)ncn1
OCNT-2308945,CYP1A2,5.431624307,4.876703061440753,2,MURCKO::O=C(Nc1cn[nH]c1)N1CCc2ccccc21
OCNT-2308952,CYP1A2,5.513475127,5.008822046895158,2,MURCKO::c1ccc2c(c1)CCC2NCc1noc2c1COCC2
OCNT-2308958,CYP1A2,5.08100234,4.64106084658393,0,MURCKO::O=C(Nc1ccccc1)N1CCCC(C2CCCCO2)C1
OCNT-2308961,CYP1A2,5.253674242,4.791173719490482,1,MURCKO::c1c[nH]c(C2CCN(c3ncnc4ccsc34)CC2)n1
OCNT-2308965,CYP1A2,2.21598687,4.683459534577738,3,MURCKO::c1nc(N2CCCC2)cc(N2CCCC2)n1
OCNT-2308971,CYP1A2,5.017242875,4.627514598590682,3,MURCKO::O=C(NCc1ccc[nH]c1=O)NC(c1ccccc1)C1CCCC1
OCNT-2308975,CYP1A2,2.532522198,4.741426377543627,2,MURCKO::O=C1CN(S(=O)(=O)c2c[nH]c3ncccc23)CCN1
OCNT-2308989,CYP1A2,5.155951453,5.438432792193511,3,MURCKO::O=c1c2c(-c3cccs3)csc2ncn1Cc1ncno1
OCNT-2308995,CYP1A2,5.266856083,5.177742927071831,0,MURCKO::c1cncc(Cc2noc(CN3CCc4ccccc43)n2)c1
OCNT-2308998,CYP1A2,6.262584408,4.9843099412673855,4,MURCKO::O=C(Nc1ccccc1)c1cncc(-c2ccccc2)c1
OCNT-2309004,CYP1A2,4.85597139,5.4039783067114,4,MURCKO::O=C(Nc1cccnc1)N1CCCC(c2ccn[nH]2)C1
OCNT-2309014,CYP1A2,4.737715497,5.1309114005739245,4,MURCKO::O=C(NC1CCCc2ccccc21)c1cccc2[nH]c(=O)oc12
OCNT-2309025,CYP1A2,3.70103229,5.580603039499578,1,MURCKO::c1cc(N2CCCC2c2nnc[nH]2)nc(-n2cnc3ccccc32)c1
OCNT-2309038,CYP1A2,3.131129773,4.785948758100359,0,MURCKO::O=C(c1n[nH]c2ccccc12)N1CCOC2CCNCC21
OCNT-2309039,CYP1A2,3.434587342,5.120205579113585,0,MURCKO::O=C(NCCN1CCN(c2ccccn2)CC1)c1c[nH]c2cccnc12
OCNT-2309040,CYP1A2,5.328568543,5.011150306456421,0,MURCKO::O=C1COc2c(NCCCOc3ccccc3)cccc2N1
OCNT-2309042,CYP1A2,4.096998445,4.729153387506052,3,MURCKO::O=C(Nc1nnc[nH]1)c1ccn(-c2ccccc2)n1
OCNT-2309065,CYP1A2,5.617261335,5.6609856222116335,0,MURCKO::c1ccc2c(OCCCc3noc(Cc4cnoc4)n3)cccc2c1
OCNT-2309070,CYP1A2,5.78048507,5.0098163304218986,0,MURCKO::O=C(Nc1cn[nH]c1)c1ccccc1
OCNT-2309077,CYP1A2,5.30529893,4.754873084504718,0,MURCKO::O=C(CSc1nc2ccccc2c(=O)[nH]1)NC1CCCCC1
OCNT-2309093,CYP1A2,5.021856983,4.841111020708755,0,MURCKO::c1ccc(-c2cn(Cc3coc(C4CC4)n3)nn2)cc1
OCNT-2309109,CYP1A2,4.923873225,4.927545859172457,0,MURCKO::c1ccc(CCNC2CCc3ccccc32)cc1
OCNT-2309110,CYP1A2,5.114729933,4.9912214142870575,3,MURCKO::c1cncc(CNc2ccnc3ccnn23)c1
OCNT-2309111,CYP1A2,3.896427225,4.417611245014228,0,MURCKO::O=C(c1coc(C2CC2)n1)N1CCCc2cnccc21
OCNT-2309126,CYP1A2,3.40651477,4.9633387113068945,0,MURCKO::O=C(CC1(N2CCOCC2)CCCC1)NCc1ccccn1
OCNT-2309138,CYP1A2,5.58659819,5.394991124685588,3,MURCKO::c1ccc(Cc2noc(-c3ccn[nH]3)n2)cc1
OCNT-2309158,CYP1A2,4.362328292,4.807055293086107,4,MURCKO::O=C1CCc2ccc(NC(=O)c3cccc4[nH]ccc34)cc2N1
OCNT-2309179,CYP1A2,5.41586177,4.846591626779705,2,MURCKO::c1ccc(NCc2ccc(-n3ccnc3)cc2)nc1
OCNT-2309204,CYP1A2,4.947380695,4.808215694466872,1,MURCKO::c1ccc(-c2cn(C3CCOc4ccccc43)nn2)cc1
OCNT-2309232,CYP1A2,3.662160178,5.171995356416473,0,MURCKO::O=S(=O)(Nc1c[nH]nc1-c1ccco1)c1cnn(C2CCC2)c1
OCNT-2309238,CYP1A2,3.60950645,4.612003281018221,3,MURCKO::c1ncc(C2CCNCC2)[nH]1
OCNT-2309242,CYP1A2,4.07457127,4.54944469782315,0,MURCKO::O=C(NC1CCNCC1)NC1CCN(c2ccccc2)C1
OCNT-2309243,CYP1A2,5.328740902,4.754503491647066,2,MURCKO::O=C(c1ccc(-n2ccnc2)cc1)N1CCCCC1
OCNT-2309246,CYP1A2,4.57543194,5.331486312844144,4,MURCKO::O=C(c1cnc2ccccn12)N1CCN(C2CC2)c2ccccc21
OCNT-2309265,CYP1A2,4.013291025,4.846065028326144,0,MURCKO::c1cc(CCN2CCN(c3ncnc4[nH]ncc34)CC2)ccn1
OCNT-2309277,CYP1A2,6.30727257,5.073075952104895,3,MURCKO::O=C(NCc1ccccc1)c1cc2ccccc2s1
OCNT-2309286,CYP1A2,3.87610005,5.017848275496384,0,MURCKO::O=C(CNc1cccc(-n2cnnn2)c1)Nc1ccccc1
OCNT-2309292,CYP1A2,4.535458238,5.152182115217741,1,MURCKO::O=C(Cc1ccccc1)N1CCN(c2cc(C3CC3)n[nH]2)CC1
OCNT-2309302,CYP1A2,6.495533205,5.0755291876514566,3,MURCKO::O=C(NCC1C2Cc3ccccc3C12)c1cc2ccccc2[nH]1
OCNT-2309323,CYP1A2,3.809379935,5.179241249071604,1,MURCKO::O=C(Cn1cnnn1)N1CCN(C(=O)c2coc3ccccc23)CC1
OCNT-2309324,CYP1A2,4.751570948,4.408106280509479,0,MURCKO::c1ccc(OC2CCCN(c3ncnc4[nH]ncc34)C2)cc1
OCNT-2309355,CYP1A2,4.03319713,4.971615458257477,3,MURCKO::O=C(c1cccnc1)N1CCCC1c1nc2ccccc2[nH]1
OCNT-2309376,CYP1A2,4.346900945,4.836749266926058,3,MURCKO::O=C(Nc1c[nH]nc1-c1ccccc1)c1cccc(-c2ncn[nH]2)c1
OCNT-2309378,CYP1A2,4.734020822,4.8444459937202975,2,MURCKO::O=C(Nc1ccccc1)c1cccnc1
OCNT-2309390,CYP1A2,5.35283503,4.79288055632023,1,MURCKO::c1ccc(-c2cnc(SCc3nccs3)[nH]2)cc1
OCNT-2309396,CYP1A2,1.90962809,4.813338266934326,1,MURCKO::O=C1CCc2ccc(NC(=O)c3ccnc4[nH]ncc34)cc2N1
OCNT-2309399,CYP1A2,2.632390405,4.8197814836136015,0,MURCKO::O=C(NCc1ccccc1)N1CCC(Cn2cccn2)CC1
OCNT-2309430,CYP1A2,2.657626473,4.689926121753089,1,MURCKO::O=C1CCCCN1Cc1nc(-c2ccccn2)no1
OCNT-2309431,CYP1A2,2.222225958,4.404812596942667,4,MURCKO::O=C(Cc1csc(-c2ccccc2)n1)Nc1cc2n(n1)CCC2
OCNT-2309443,CYP1A2,4.876238563,5.0075196894008265,3,MURCKO::O=C1NCCN(C(=O)Nc2ccccc2)C1c1ccccc1
OCNT-2309444,CYP1A2,4.188894158,4.678611703651009,1,MURCKO::O=C(c1coc(C2CCCCC2)n1)N1CCCC(c2ccncn2)C1
OCNT-2309448,CYP1A2,5.825900875,5.284976261255121,1,MURCKO::c1cncc(COc2cccc(-c3noc(C4CCCCC4)n3)c2)c1
OCNT-2309449,CYP1A2,5.212759145,5.507987231694867,3,MURCKO::O=C(NCc1cccnc1)N1CCC(c2ccccc2)C1
OCNT-2309458,CYP1A2,5.260399738,5.216678655523993,2,MURCKO::O=C(c1cn2ccccc2n1)N1CCCC(c2cc[nH]n2)C1
OCNT-2309468,CYP1A2,3.588619277,5.023884749174707,2,MURCKO::O=C(NCCc1ccccn1)c1ccn[nH]1
OCNT-2309471,CYP1A2,4.94583745,5.125318101337976,2,MURCKO::O=C(Cc1cnn(Cc2ccccc2)c1)Nc1ncc(C2CCCCC2)cn1
OCNT-2309480,CYP1A2,3.941705128,4.8197334923530795,1,MURCKO::O=C(Nc1cccc(-c2nc(Cn3cnc4ccccc43)no2)c1)C1CCCO1
OCNT-2309491,CYP1A2,5.875974053,5.166693285003898,0,MURCKO::O=C(Cc1csc(-c2ccc3c(c2)OCO3)n1)NC1CCc2[nH]ncc2C1
OCNT-2309495,CYP1A2,4.300952497,5.048977850778233,3,MURCKO::O=C(Cc1ccccn1)Nc1ccc(-n2ccnc2)cc1
OCNT-2309500,CYP1A2,3.363730327,4.33014975800639,1,MURCKO::O=C(CC1CCC1)Nc1ccc2c(c1)CCC(=O)N2
OCNT-2309501,CYP1A2,5.200461928,4.760199309027994,4,MURCKO::O=C(Cc1cnn(Cc2ccccc2)c1)Nc1cc[nH]n1
OCNT-2309502,CYP1A2,5.15856721,4.790369066860277,1,MURCKO::O=C1CCc2cc(-c3ccccc3)cc3c2N1CCC3
OCNT-2309503,CYP1A2,5.269682055,5.201761758331205,4,MURCKO::O=C(Nc1cc[nH]n1)c1cccn1Cc1ccncc1
OCNT-2309511,CYP1A2,6.365419265,5.332589646747094,4,MURCKO::O=C(Nc1ccon1)C(NCCCn1ccnc1)c1ccccc1
OCNT-2309518,CYP1A2,4.999545695,4.611446494561077,0,MURCKO::O=C(Nc1ccccc1)N1CCN(c2cnccn2)CC1
OCNT-2309526,CYP1A2,2.645436473,4.8856064435951145,4,MURCKO::O=C(NCc1ccccc1)N1CCC(Oc2ccccn2)CC1
OCNT-2309532,CYP1A2,5.089029995,4.392962837965426,1,MURCKO::O=C(c1ccn(-c2ccccc2)n1)N1CCCc2ccccc21
OCNT-2309536,CYP1A2,5.18596381,5.131521329927327,0,MURCKO::O=C(Nc1cnc2ccccc2c1)C1CCCCC1
OCNT-2309544,CYP1A2,5.587521188,5.055613564960059,3,MURCKO::O=C(Cc1cnn(-c2ccccc2)n1)NCc1cccnc1
OCNT-2309576,CYP1A2,4.411497823,5.3152988036448905,0,MURCKO::O=C(C1CCSc2ccccc21)N1CCC(c2ccncn2)CC1
OCNT-2309586,CYP1A2,2.63697236,5.119343698908296,3,MURCKO::O=C(c1cscn1)N1CCC(c2nccs2)CC1
OCNT-2309593,CYP1A2,4.807199705,4.749661207054145,3,MURCKO::c1ccc(-c2nn(-c3ccccc3)cc2CNCCc2nc[nH]n2)cc1
OCNT-2309596,CYP1A2,6.39124083,4.944811966853484,0,MURCKO::O=C1NCC2(CCCC2)C(=O)N1CCc1ccccc1
OCNT-2309597,CYP1A2,3.614950857,4.686764290692484,4,MURCKO::O=C(NCc1cccnc1)c1ccno1
OCNT-2309598,CYP1A2,3.686655173,4.560034415420381,2,MURCKO::O=C(NCc1csc(-c2ccccc2)n1)NC1CCC1
OCNT-2309599,CYP1A2,5.153638547,4.86330068629212,1,MURCKO::O=C(Nc1[nH]ncc1-c1ccc2c(c1)OCCO2)c1ccn(-c2ccccc2)n1
OCNT-2309600,CYP1A2,4.52852544,4.508563627922083,0,MURCKO::O=c1[nH]c2ccccc2cc1CNC1CCOC1
OCNT-2309602,CYP1A2,4.777768225,4.623651892124456,3,MURCKO::O=S(=O)(Nc1ccn(-c2ccccn2)n1)c1ccccc1
OCNT-2309612,CYP1A2,5.372954847,4.70021642150865,0,MURCKO::O=S1(=O)CC(CSc2nnc(-c3ccccc3)[nH]2)C1
